Date,simple return
2010-08-31,0.005053309206729306
2010-09-01,0.0021784868878929053
2010-09-02,0.004515109600918166
2010-09-03,0.0036627147392955806
2010-09-07,-0.0024881409352943695
2010-09-08,0.003824244403951793
2010-09-09,-0.001324830704816704
2010-09-10,0.0018241991245087075
2010-09-13,0.0013244312656464086
2010-09-14,0.0026457032933118185
2010-09-15,0.007750537562764226
2010-09-16,0.0
2010-09-17,-0.002290911315455779
2010-09-20,0.007545051949944037
2010-09-21,0.0014646205149599911
2010-09-22,0.0043887051292879065
2010-09-23,-0.009224419846178722
2010-09-24,0.006860128510573604
2010-09-27,-0.00973358007413716
2010-09-28,-0.006880784811741925
2010-09-29,-0.006103907459313995
2010-09-30,-0.004647050893391125
2010-10-01,0.0031681215947467756
2010-10-04,-0.0033244604891868867
